
Timeframe & Parameter Performance (sorted by total return):
|      | start               | end                 |   lookback |   z_enter |   z_exit |   max_holding |   total_return |       sharpe |            max_dd | pair      |
| 2979 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2980 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2981 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2982 | 2024-03-10 00:00:00 | 2025-03-10 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2983 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2984 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2985 | 2024-03-10 00:00:00 | 2025-03-10 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 6077 | 2020-08-28 00:00:00 | 2021-08-28 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6074 | 2023-08-13 00:00:00 | 2024-08-12 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6075 | 2020-08-28 00:00:00 | 2021-08-28 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5983 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5985 | 2022-11-16 00:00:00 | 2023-11-16 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5986 | 2022-11-16 00:00:00 | 2023-11-16 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 5987 | 2022-11-16 00:00:00 | 2023-11-16 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5988 | 2022-08-18 00:00:00 | 2023-08-18 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5989 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5990 | 2023-01-15 00:00:00 | 2024-01-15 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5991 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5992 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5993 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5994 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
